"회사명","공고제목","근무지역","주소","급여","근무시간","고용형태","직종","업종","경력조건","최소학력","최대학력","등록일","마감일","모집인원","모집내용","전형방법","접수방법","제출서류","담당부서","연락처","원본_근무조건"
"아들래노인주간보호센터","재가선생님모셔요","(11706)  경기도 의정부시 평화로322번길 37, 501동 (호원동, 한주4차아파트)","11730 경기도 의정부시 경의로 196, 아들래노인주간보호센터 (신곡동)","시급10,320원 이상,","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 10시 00분, 주 1일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","채용시까지  26-09-29","","3등급. 87세 여자어르신 시급 :17550원 식사 및 청소도움 장소 : 의정부시 평화로 322번길 37 근무시간 : 주1회 (일요일)2시간씩.  근무시간 오전 8시-10시 *교회 가시기 전 준비와 청소","면접","방문","이력서,기타(요양보호사자격증(개인식별번호 삭제))","","031-874-2000","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 10시 00분, 주 1일 근무"
"늘봄시니어방문요양센터","[4등급 남자어르신 / 방문요양+병원동행 / 내유...","(10263)  경기도 고양시 덕양구 유산길50번길 18-26 (내유동)","10401 경기도 고양시 일산동구 중앙로 1305-30 (장항동, 마이다스 오피스텔)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 11시 30분 ~ (오후) 2시 30분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-29","","* 대상자 - 4등급 남자어르신 * 근무시간 - 주6일/ 1일3시간/ 오전11시30분~오후2시30분 * 근무장소 - 일산동구 유산길50번길 18-26 (내유동) * 주거형태 - 빌라1층 거주 * 근무내용 - 월, 수, 금요일 : 일상생활 지원(근무시간 조정 가능)                    화, 목, 토요일 : 병원동행(투석)                    운전필수 * 포괄시급 - 13,200원(주휴수당, 연차수당 등 포함)","면접","기타(면접 시)","기타(요양보호사자격증)","","031-994-8811","평일 : (근무시간) (오전) 11시 30분 ~ (오후) 2시 30분, 주 6일 근무"
"봄봄노인복지센터","불광동 3등급 여자어르신 돌보실 요양보호사 선생님...","(03364)  서울특별시 은평구 불광로 64, 1 (불광동, 불광롯데캐슬)","03351 서울특별시 은평구 통일로 822 (불광동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (오후) 5시 30분~(오후) 8시 30분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","3등급 여자 어르신 돌봄직무내용 :개인위생..식사돌봄,정서지원,일상생활지원,","서류,면접","고용24,기타(전화상담)","기타(요양보호사자격증)","","02-6012-8899","평일 : (오후) 5시 30분~(오후) 8시 30분, 주 5일 근무"
"군포케어119재가장기요양기관","요양보호사 채용","(15809)  경기도 군포시 엘에스로 143, 102동 (금정동, 힐스테이트 금정역)","15812 경기도 군포시 당산로172번길 4 (금정동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 3일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","-80대 할머니 케어(4등급) -이동도움(휠체어이용), 반찬만들기, 청소 -주3일(월,수,금) 13:00~16:00(시간 조정 가능 12:00~15:00)","면접","방문,기타(핸드폰으로 전화 010-5786-3428)","이력서","","031-452-7919","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 3일 근무"
"섬기는재가복지센터","[잠실/3등급 여성]재가간병인 모집","(05501)  서울특별시 송파구 올림픽로 99 (잠실동, 잠실엘스)","05404 서울특별시 강동구 양재대로 1367 (성내동)","시급10,320원 이상 ~ 10,320원 이하,","평일 :  주1회 휴무(비급여 근무조건 협의), 주 6일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","재가 간병인(550202)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","-요양보호대상자: 잠실엘스아파트 3등급 여성(68세, 편마비, 독거) -근무조건: 주1회 휴무(비급여 근무조건 협의) -직무내용: 휠체어 이동도움, 일상생활지원 희망 -문 의: 010-4767-3888","면접","방문","기타(자격증사본)","","","평일 :  주1회 휴무(비급여 근무조건 협의), 주 6일 근무"
"행복드림복지센터","[자양동/1등급/남자/오후] 재가 요양보호사 채용","(05062)  서울특별시 광진구 뚝섬로47길 30, 자양전통시장 인근 (자양동, 드림팰리스3차)","05099 서울특별시 광진구 뚝섬로 618, 국제빌딩 2층 (자양동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 5시 00분, 주 5일 근무","기간의 정함이 있는 근로계약(시간(선택)제)12 개월/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","* 1등급 남자어르신(55년생) 케어/거동불편/배우자와 거주 * 말벗/침대에서 일으켜 앉히기/실내 이동도움_휠체어 사용/기저귀 케어 등 신체활동지원 - 외출동행 및 가사활동 없음","서류,면접","방문,기타(전화접수)","기타(자격증 사본)","","02-3425-1111","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 5시 00분, 주 5일 근무"
"밀알재가장기요양기관","관악구 난곡동에서 근무하실 방문요양보호사 모집합니...","(08857)  서울특별시 관악구 난곡로10길 18-3, 1","08850 서울특별시 관악구 법원단지3길 38 (신림동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 3일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","채용시까지  26-09-29","","5등급 남자어르신 월,수,금 14-17시 파킨슨 있으심 (필수 : 치매이수자)","면접","방문,팩스,고용24","기타(채용시 제출서류 : 1년 미만의 건강검진서류, 노인학대경력조회서류, 보수교육이수증(해당자만))","","070-4148-3227","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 3일 근무"
"나래케어재가방문요양센터","[녹번동] 4등급 재가요양보호사 구인","(03382)  서울특별시 은평구 은평로21가길 12, . (녹번동)","03471 서울특별시 은평구 은평로16길 6 (응암동)","시급13,100원 이상,","평일 : (근무시간) (오전) 10시 00분 ~ (오후) 1시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","-직무대상 : 4등급 여 자 어르신 -직무내용 : 일상생활 지원(병원동행) -근무시간 : 10:00~13:00(주5일) -급여: 시급 13,100원 -근무지 : 은평구 은평로 21가길 12","서류,면접","방문","기타(전화연락)","","02-356-7850","평일 : (근무시간) (오전) 10시 00분 ~ (오후) 1시 00분, 주 5일 근무"
"은혜데이케어센터","[대조동]3등급 재가요양보호사 구인","(03393)  서울특별시 은평구 서오릉로 108-8, .","03459 서울특별시 은평구 서오릉로 31, 2층은혜데이케어 (녹번동)","시급14,000원 이상 ~ 14,000원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","그 외 기타 보건업","관계없음","학력무관","","26-07-30","26-09-29","","-대상: 3등급 여 자 어르신 -내용: 일상생활 지원(기저귀케어 있음) -시간: 09:00~12:00(주6일) -시급: 14,000원 -근무지: 서오릉로108-8","면접","방문","","","02-304-2005","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"비지팅엔젤스 수원권선호매실방문요양지점","[탑동] 4등급 88세 여자 어르신 재가요양보호사...","(16606)  경기도 수원시 권선구 탑동로11번길 44-14, 수원시 권선구 탑동 823 (탑동)","16397 경기도 수원시 권선구 금곡로196번길 35, 915호 (금곡동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (정오) 12시 00분 ~ (오후) 3시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","경력","학력무관","","26-08-03","채용시까지  26-10-02","","■모집내용 : 88세 4등급 여자 어르신 ■대상자상태 : 4등급, 체중 42kg, 치매 진단 받으심. ■급     여 : 시급 10,320원+기타수당=14,000원 ■근무시간 : 주5일, 월~금, 12:00~15:00 ■근무장소 : 수원시 권선구 탑동 823 ■근무내용: 식사준비와 정리가 주 업무이고 그 외 청소, 빨래, 목욕 등 일반적인 업무/ 스스로 걷기, 화장실 이용 가능하심.  ■지원방법: 전화지원(010-7545-1509) ■기타: 아들과 2인 거주 중이며, 자녀분은 낮시간에 출근하심.   ※ 밝고 긍정적인 선생님, 오래 성실하게 근무하실 요양보호사 선생님 많은 지원 부탁드립니다.","면접","기타(전화문의:010-7545-1509)","기타(건강검진표)","","","평일 : (근무시간) (정오) 12시 00분 ~ (오후) 3시 00분, 주 5일 근무"
"비지팅엔젤스 수원권선호매실방문요양지점","[우만동] 84세 남자 어르신 재가요양보호사 구인","(16235)  경기도 수원시 팔달구 경수대로680번길 50 (우만동, 삼익세라믹아파트)","16397 경기도 수원시 권선구 금곡로196번길 35, 915호 (금곡동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","경력","학력무관","","26-08-03","채용시까지  26-10-02","","■모집내용 : 84세 남자 어르신 (현재 등급 확정 전으로 3,4등급 예정) ■대상자상태 : 당뇨, 비뇨기/소변, 치매 진료 중, 침대/휠체어 사용, 기저귀 케어 필요 ■급     여 : 시급 10,320원+기타수당=14,000원 ■근무시간 : 주5일, 월~금, 09:00~12:00 ■근무장소 : 수원시 권선구 팔달구 경수대로 680번길 50 삼익세라미아파트A ■근무내용: 식사, 청소, 빨래, 목욕 등 일반적 업무 ■지원방법: 전화지원(010-7545-1509) ■기타: 배우자와 2인 거주 중   ※ 밝고 긍정적인 선생님, 오래 성실하게 근무하실 요양보호사 선생님 많은 지원 부탁드립니다.","면접","기타(전화문의:010-7545-1509)","기타(건강검진표)","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"라온방문요양센터","공릉동 4등급 할머니 케어할 요양보호사 모집합니다...","(01858)  서울특별시 노원구 동일로177길 7, 1 (공릉동)","01853 서울특별시 노원구 동일로193길 33, B01호 (공릉동, 한빛빌라)","시급10,320원 이상 ~ 13,200원 이하,","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","공릉동 4등급 할머니   *근무시간:오전 08:00~11:00(주6회,월~토)   *지원업무:반찬조리 및 식사제공, 개인위생관리 도움, 정서지원  시급 10,320원(포괄시급 13,200원)","면접","방문","기타(자격증,건강검진서류 등)","","","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 6일 근무"
"복사꽃재가노인복지센터","재가요양보호사 모집(간석동, 부평삼거리역)","(21514)  인천광역시 남동구 평온로6번길 4 (간석동)","21674 인천광역시 남동구 소래역남로16번길 8-7, 404호 (논현동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 12시 30분 ~ (오후) 3시 30분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","26-09-29","","* 4등급 남 어르신 - 근무시간: 12:30~15:30 (주5일 , 3시간) - 직무내용: 가사지원, 식사도움, 위생지원 - 근무지: 인천시 남동구 평온로6번길 (간석동, 부평삼거리역 인근) - 애견 없음 /흡연 - 12시 이후 오후시간으로 시간 조율 가능 - 채용담당자: 010-9129-5689","서류,면접","방문,고용24,기타(통화후 면접(방문))","기타(요양보호사 자격증)","","070-8729-2580","평일 : (근무시간) (오후) 12시 30분 ~ (오후) 3시 30분, 주 5일 근무"
"가가호호노인요양센터","[구로영림중학교]방문요양 4등급 수행할 요양보호사...","(08301)  서울특별시 구로구 가마산로 283, 1 (구로동, 성호주상복합)","08205 서울특별시 구로구 신도림로11가길 36 (신도림동, 미성아파트)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","ㅇ4등급 90세 초반 독거여자 어르신 ㅇ주5회(월~금)  09:00~12:00 ㅇ문의 02-3667-3462","면접","방문","기타(- 요양보호사 자격증사본 - 2026년도 건강검진결과서(건강검진일이 2025년 09월 이후 날짜))","","02-3667-3462","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"돌봄연구소행복한시니어케어센터","[과천 위버필드 / 2등급어르신 요양보호사 구인]","(13839)  경기도 과천시 별양로 11, . (원문동, 과천 위버필드)","13837 경기도 과천시 별양상가2로 20, 1층 7호 (별양동, 새서울쇼핑센터)","시급10,320원 이상 ~ 10,320원 이하, 면접 후 재조정 가능","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(노인요양사)(550101)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","[ 과천 위버필드 / 2등급 어르신케어 요양보호사 구인 ]  - 요양보호대상자 : 2등급 할머니 / 기저귀케어, 휠체어이동,   - 직무내용 : 어르신 돌봄 및 일상생활지원  - 근무시간 09:00~12:00 / 주 6일  - 시급: 10,320원 (최저시급 10,320원+기타수당)  - 과천시 별양로 53 소재  * 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금,근무(예정)지 등에 차이가 있을 수 있음","서류,면접","방문,고용24","이력서","","02-3679-9926","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"맞춤재가노인복지센터","망우동 4등급 여성 어르신(70대) 주4일 방문요...","(02066)  서울특별시 중랑구 망우로81길 5 (망우동)","02066 서울특별시 중랑구 망우로81길 5 (망우동)","시급13,500원 이상 ~ 13,500원 이하, 면접 후 재조정 가능","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 4일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","[모집직무] 요양보호사 (방문요양)  [직무소개] 월화목금 주 4일 방문 희망하십니다. 70대 여성 어르신께서 안전하고 즐겁게 댁에서 지내실 수 있도록 간단한 신체지원과 일상생활 지원 제공 가능하시면 됩니다. 전반적인 거동 가능, 화장실 사용 가능하시어 넘어지지 않도록만 해주시면 됩니다. 외출 잘 안 하시고 조용하신 편입니다.  [주요업무] - 70대 여성 어르신의 신체적 활동 지원 - 식사 및 일상생활 관리 지원 - 적극적인 의사소통 및 소통 - 환경 청결 유지  [위치] 센터 근방 건물 (매우 가까움)","면접","방문,기타(전화문의 010-8858-8363)","기타(요양보호사자격증 채용건강검진서(없을 시 면접 후 받아오셔야합니다))","","02-494-1851","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 4일 근무"
"어울재가복지센터","(서울 은평구) 3등급 여자 어르신 요양보호사님 ...","(03359)  서울특별시 은평구 불광로22길 9-1","10592 경기도 고양시 덕양구 삼송로 222, 1층 181호 (삼송동, 삼송역 현대 헤리엇)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (정오) 12시 00분 ~ (오후) 3시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(노인요양사)(550101)","노인 요양 복지시설 운영업","신입","학력무관","","26-07-30","채용시까지  26-09-29","","안녕하세요. 어르신과 함께 어우러지는 삶 어울재가복지센터입니다. 어울의 새로운 선생님을 모십니다.？  -수급자 어르신 : 3등급 여자 어르신 (70대 어르신)？ -직무 내용 : 점심 식사 및 일상생활지원, 정서지원 등？ -근무 시간 : 12:00~15:00(주5일), 시간 협의 가능합니다. -급여: 시급 13,400원 -근무지 : 은평구 불광중학교 인근, 전철역 <3호선, 6호선 연신내역>, <6호선 독바위역> 근처입니다.   저희와 함께 하실 오래하실 분을 모시고자 합니다. :) 궁금하신 점은 편하게 연락 주세요. 부재중일시 문자 남겨주시면 확인 후 연락드리겠습니다.  감사합니다.","면접","고용24","이력서,기타(전화 지원 부탁드립니다.)","","","평일 : (근무시간) (정오) 12시 00분 ~ (오후) 3시 00분, 주 5일 근무"
"화정노인재가복지센터","요양보호사 구인","(10483)  경기도 고양시 덕양구 성신로 99 (행신동, 햇빛마을19단지아파트)","10477 경기도 고양시 덕양구 화중로130번길 40, 204호 (화정동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 4시 00분, 주 2일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-10-01","","4등급 여자어르신입니다. 토-일, 오전9시부터 6시간이나 8시간동안 근무 원하십니다. 목욕 서비스 및 일상생활 지원, 신체활동 지원 원하십니다.  *시급 13,000원은 주휴수당과 기타수당이 포함된 금액입니다.","면접,기타(전화상담)","방문,고용24,기타(전화 및 문자)","이력서","","031-969-0850","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 4시 00분, 주 2일 근무"
"아들래노인주간보호센터","재가선생님모셔요","(11719)  경기도 의정부시 동일로 397, 103동 (장암동, 장암1단지주공· 장암2단지주공아파트)","11730 경기도 의정부시 경의로 196, 아들래노인주간보호센터 (신곡동)","시급10,320원 이상, 면접 후 재조정 가능","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 3일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","채용시까지  26-09-29","","4등급. 79세 여자어르신 시급 :13800원 식사 및 청소도움 장소 : 의정부시 동일로 397(장암1단지) 근무시간 : 주3회 (화 목 토)3시간씩.  근무시간 오전 또는 오후 조정가능","면접","방문","이력서,기타(요양보호사자격증(개인식별번호 삭제))","","031-874-2000","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 3일 근무"
"늘함께재가복지센터","재가 요양보호사 채용(먹골역_오전)","(02005)  서울특별시 중랑구 동일로163길 16, 먹골역 (묵동)","11633 경기도 의정부시 회룡로 95, 상가동 2층 201호 (호원동, 한신아파트)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","먹골역 7번출구 도보3분 3등급할아버지(90세) 방문케어 부부동거/부축거동 말벗, 정서지원, 일상생활 지원, 외출 시 이동보조(병원동행 시 아드님이 오셔서 차량운전) 9-12시/주5일/시급10,320원 (연차수당, 주휴수당 등 포함시 13,000원)  * 어르신과 편안하게 대화하며 정서적 교감 가능한 분","면접","방문,기타(전화)","기타(자격증)","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"가남재가복지센터","[점봉동] 요양보호사 채용","(12653)  경기도 여주시 세종로 396-24, 인근 (점봉동)","12660 경기도 여주시 가남읍 금당리길 109-4","시급10,320원 이상 ~ 13,000원 이하,","평일 : (근무시간) (오전) 7시 00분 ~ (오전) 10시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","26-09-30","","■ 4등급 어르신. ■ 시간 : 7:00 ~ 10:00 ■ 시급 : 10,320~13,000원(수당포함) ■ 주택 분리된 원룸  집안청소, 식사준비, 말벗","서류","기타(전화먼저 주세요)","기타(자격증사본, 건강검진결과표)","","031-884-2014","평일 : (근무시간) (오전) 7시 00분 ~ (오전) 10시 00분, 주 5일 근무"
"장수재가복지센터","서구 용두산로26번길 요양보호사","(22724)  인천광역시 서해구 용두산로26번길 1, . (심곡동)","22213 인천광역시 미추홀구 인하로209번길 10 (주안동)","시급10,320원 이상,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","*서구 용두산로26번길 4등급 남자 어르신 재가 구인*  -대상자:  4등급 남자 어르신 케어 -주5일 (14:00~17:00 3시간)    -근무지: 서구 용두산로 26번길 -시급:  13,000(기본급+수당) -전화: 0327166206","면접","방문,고용24","이력서","","032-716-6206","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무"
"공생복지협동조합","(4등급) 요양보호사님을 모십니다","(13424)  경기도 성남시 중원구 도촌남로 69, 3단지 (도촌동, 휴먼시아섬마을4단지아파트)","13426 경기도 성남시 중원구 도촌남로 27, 공생복지협동조합 (도촌동)","시급10,320원 이상, 면접 후 재조정 가능","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-20","채용시까지  26-10-19","","요양보호사 구인 도촌동 4등급 남자어르신 09:00~12:00 어르신돌봄 ,가사지원등","기타(.)","방문,팩스,고용24","이력서,기타(요양보호사 자격증,  입사용 건강진단서 (최근1년이내))","","0000-756-0179","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"믿음노인요양센터","삼평동 봇들마을 3등급 여자어르신 (월~토) 9:...","(13492)  경기도 성남시 분당구 대왕판교로644번길 65, . (삼평동, 봇들마을5단지아파트)","13357 경기도 성남시 중원구 광명로 119, (오른쪽 출입구 이용) (성남동, 금성빌딩)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","3등급 독거 여자어르신 요양보호사 모십니다.  9시 ~ 12시  월~토 근무  삼평동 봇들마을 입니다.   전화 부탁 드립니다.","면접","방문,고용24,이메일","기타(근무시 요양보호사 자격증, 1년이내 건강검진결과지 제출)","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"고사리노인복지센터","재가요양보호사 구인(한천로 139가길, 백년시장 ...","(01070)  서울특별시 강북구 한천로139가길 46, 백년시장 부근(상세주소 생략) (수유동)","02043 서울특별시 중랑구 봉화산로 189, 4층 (신내동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 12시 30분 ~ (오후) 3시 30분, 주 6일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","* 한천로 139가길 ** , 백년시장 건너편/ 3등급 여자 - 산책, 식사 준비, 주변 정리, 등 - 12:30~15:30(12시 시작 가능, 13시 시작 불가)/ 주 6일 근무 - 시급 13,000원(기본 시급, 제 수당 등 포함)","면접","기타(전화 후 방문)","이력서","","","평일 : (근무시간) (오후) 12시 30분 ~ (오후) 3시 30분, 주 6일 근무"
"주식회사 아성다이소","아성다이소 현장사원 모집 [*면접일정: 8월 21...","(18497)  경기도 화성시 동탄구 동탄대로5길 15 (송동)","06297 서울특별시 강남구 남부순환로 2748 (도곡동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : *2교대/매장별 상이함[시용기간 2개월]  07:00~16:00 13:00~22:00, 주 5일 근무","기간의 정함이 있는 근로계약12 개월/ 계약기간 만료 후 상용직전환검토/ 파견근로 비희망/ 대체인력채용 비희망","창고 관리원(자재 검수원 포함)(028407)","그 외 기타 종합 소매업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","▶ 화성시일자리센터 채용대행건으로, T. 031-892-0242 으로 지원 문의해주시기 바랍니다. ▶ 면접안내 - 장소: 화성시일자리센터 교육장(화성시 병점구 병점중앙로 195, 3층) - 일시: 8월 21일(금) 14:00  ▣ 근무 내용 : 다이소 매장 내 상품 진열 및 입출고 관리 ▣ 근무 시간 : [2교대] 07:00~16:00(휴게시간 13:00~14:00)/ 13:00~22:00 *매장별 상이함  ▣ 임금 : 시급 10,320원  ▣ 근무지 :  (동탄권) 동탄그랑파사쥬점, 동탄반송점, 농협동탄유동센터점, 동탄역점, 동탄목동점 (수원권) 홈플러스 영통점, 수원영통점, 수원망포점, 영통판타지움점","면접","고용24,이메일,기타(▶ 화성시일자리센터 채용대행건으로, T. 031-892-0242 으로 지원 문의)","이력서","경기도 화성시청","031-892-0242","평일 : *2교대/매장별 상이함[시용기간 2개월]  07:00~16:00 13:00~22:00, 주 5일 근무"
"참평안재가방문요양센터","거모동 재가요양보호사 구인","(15071)  경기도 시흥시 한우물로 35, 301동 (거모동, 아주3차아파트)","15068 경기도 시흥시 군자로477번길 2 (거모동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","- 대상자: 4등급 할머님(파킨슨-동작반응 있으나 조금 불편하심)  - 일상생활 지원(식사(반찬만들기X) 산책, 약 복용, 주1회 목욕지원 등)  - 근무시간:  09:00~12:00 (격주 토요일 근무)  - 시급: 13,000원 (주차수당 외 포함)","서류,면접","방문","이력서","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
